#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
24.082376	4.214527
24.156172	4.302726
24.228498	4.387209
24.299434	4.471127
24.369044	4.556995
24.437370	4.640599
24.504470	4.724626
24.570384	4.809247
24.635138	4.895124
24.698768	4.980962
24.761290	5.069538
24.822756	5.154377
24.883220	5.240879
24.942710	5.320946
25.001326	5.400895
25.059088	5.478503
25.116070	5.550321
25.172312	5.621833
25.227878	5.688818
25.282800	5.751726
25.337118	5.816256
25.390862	5.876969
25.444060	5.934700
25.496732	5.993804
25.548888	6.054098
25.600520	6.115141
25.651624	6.179129
25.702206	6.244221
25.752252	6.310446
25.801770	6.378609
25.850750	6.449055
25.899214	6.517286
25.947174	6.586424
25.994632	6.651689
26.041648	6.715388
26.088228	6.773886
26.134406	6.833412
26.180194	6.890364
26.225624	6.941826
26.270716	6.992194
26.315476	7.044877
26.359924	7.093553
26.404078	7.138037
26.447938	7.185382
26.491510	7.235358
26.534782	7.285021
26.577750	7.337427
26.620408	7.392331
26.662738	7.450535
26.704742	7.508587
26.746412	7.569008
26.787752	7.629669
26.828772	7.691310
26.869464	7.748218
26.909868	7.804811
26.949984	7.857911
26.989838	7.909347
27.029436	7.958235
27.068802	8.004058
27.107950	8.046700
27.146884	8.090216
27.185620	8.132099
27.224168	8.169317
27.262530	8.207735
27.300706	8.250414
27.338682	8.294415
27.376454	8.339773
27.414016	8.387422
27.451358	8.439243
27.488466	8.492168
27.525340	8.546691
27.561984	8.600506
27.598398	8.656910
27.634578	8.707779
27.670558	8.758273
27.706332	8.804912
27.741926	8.849557
27.777340	8.892139
27.812594	8.931576
27.847698	8.967780
27.882656	9.005311
27.917476	9.041595
27.952166	9.071358
27.986732	9.104482
28.021168	9.141040
28.055464	9.179502
28.089614	9.218829
28.123612	9.261771
28.157444	9.308974
28.191104	9.357776
28.224586	9.407656
28.257892	9.456932
28.291030	9.508452
28.323990	9.551236
28.356810	9.596752
28.389478	9.635605
28.422018	9.675370
28.454424	9.713062
28.486714	9.748022
28.518886	9.780799
28.550952	9.813184
28.582916	9.845784
28.614784	9.872392
28.646556	9.900393
28.678236	9.933576
28.709808	9.967614
28.741266	10.003798
28.772612	10.041529
28.803828	10.085370
28.834908	10.130902
28.865848	10.175528
28.896650	10.223211
28.927312	10.272014
28.957826	10.315862
28.988222	10.359403
29.018492	10.397116
29.048652	10.436491
29.078702	10.472674
29.108656	10.504891
29.138522	10.534480
29.168298	10.564947
29.197996	10.593447
29.227624	10.616358
29.257176	10.641531
29.286658	10.671171
29.316054	10.701705
29.345364	10.735349
29.374580	10.771421
29.403688	10.812199
29.432686	10.854788
29.461570	10.897713
29.490340	10.941741
29.518996	10.988432
29.547530	11.028550
29.575966	11.070522
29.604298	11.105743
29.632542	11.141980
29.660698	11.173683
29.688778	11.203968
29.716784	11.230402
29.744722	11.259382
29.772596	11.283646
29.800414	11.304759
29.828174	11.326769
29.855874	11.354607
29.883512	11.380933
29.911074	11.414012
29.938558	11.446450
29.965958	11.484948
29.993260	11.527088
30.020466	11.567835
30.047574	11.610587
30.074584	11.655386
30.101488	11.694434
30.128314	11.731991
30.155052	11.766265
30.181714	11.800739
30.208304	11.830958
30.234828	11.857751
30.261294	11.881969
30.287706	11.908091
30.314064	11.930703
30.340378	11.948854
30.366648	11.967060
30.392870	11.993558
30.419036	12.018335
30.445142	12.048756
30.471184	12.079332
30.497148	12.117537
30.523034	12.156925
30.548830	12.196571
30.574546	12.237429
30.600176	12.281441
30.625714	12.319005
30.651182	12.355827
30.676574	12.387007
30.701906	12.417362
30.727178	12.446881
30.752392	12.472577
30.777560	12.493409
30.802680	12.517303
30.827758	12.539286
30.852800	12.553315
30.877806	12.571399
30.902772	12.594582
30.927694	12.616838
30.952564	12.645277
30.977380	12.674867
31.002130	12.709736
31.026810	12.748935
31.051412	12.788377
31.075942	12.827016
31.100396	12.870105
31.124772	12.903938
31.149096	12.932622
31.173372	12.949681
31.197632	12.955021
31.221894	12.945412
31.246192	12.918795
31.270550	12.877491
31.294982	12.837499
31.319496	12.796711
31.344094	12.748935
31.368774	12.705624
31.393538	12.666691
31.418382	12.624950
31.443302	12.587518
31.468298	12.549304
31.493364	12.516305
31.518488	12.491422
31.543662	12.464659
31.568888	12.443922
31.594158	12.423255
31.619474	12.393848
31.644856	12.364581
31.670298	12.329641
31.695818	12.292975
31.721412	12.256526
31.747084	12.219341
31.772840	12.175772
31.798684	12.135324
31.824626	12.088628
31.850676	12.033065
31.876834	11.983493
31.903098	11.938864
31.929456	11.899071
31.955898	11.861333
31.982426	11.825614
32.009024	11.794536
32.035698	11.762740
32.062436	11.733744
32.089242	11.705763
32.116110	11.681389
32.143036	11.651927
32.170038	11.620895
32.197112	11.585753
32.224276	11.547426
32.251526	11.508509
32.278878	11.465667
32.306332	11.419821
32.333894	11.376811
32.361566	11.330854
32.389364	11.273928
32.417290	11.224784
32.445334	11.178454
32.473492	11.134082
32.501760	11.093194
32.530132	11.053383
32.558596	11.020039
32.587148	10.985358
32.615784	10.953949
32.644506	10.922720
32.673308	10.895445
32.702184	10.861543
32.731160	10.825612
32.760230	10.786955
32.789412	10.746366
32.818702	10.704623
32.848114	10.660308
32.877654	10.610621
32.907326	10.562816
32.937142	10.513328
32.967108	10.455943
32.997226	10.403314
33.027494	10.355306
33.057904	10.307063
33.088448	10.262618
33.119124	10.219885
33.149922	10.180145
33.180838	10.143332
33.211862	10.108084
33.242994	10.074374
33.274236	10.040245
33.305584	10.001250
33.337062	9.961925
33.368662	9.920401
33.400402	9.876737
33.432286	9.830995
33.464326	9.780799
33.496534	9.727498
33.528914	9.675370
33.561480	9.622030
33.594232	9.562866
33.627180	9.505575
33.660322	9.452948
33.693646	9.401462
33.727152	9.350535
33.760836	9.304012
33.794678	9.259587
33.828684	9.218288
33.862838	9.177356
33.897144	9.136786
33.931610	9.098154
33.966220	9.053059
34.001014	9.007893
34.035986	8.958574
34.071158	8.907266
34.106532	8.854545
34.142126	8.799486
34.177950	8.740242
34.214010	8.683710
34.250320	8.623168
34.286894	8.557400
34.323734	8.495383
34.360844	8.437430
34.398208	8.378474
34.435830	8.322100
34.473700	8.268655
34.511808	8.219331
34.550146	8.170167
34.588708	8.122428
34.627502	8.073998
34.666528	8.028604
34.705782	7.976825
34.745302	7.924110
34.785092	7.867356
34.825170	7.811021
34.865550	7.750130
34.906258	7.686418
34.947308	7.620046
34.988716	7.554448
35.030498	7.485686
35.072676	7.412563
35.115258	7.341885
35.158244	7.275237
35.201632	7.207141
35.245420	7.141282
35.289608	7.078848
35.334178	7.018123
35.379134	6.958431
35.424472	6.900050
35.470196	6.841745
35.516320	6.783539
35.562840	6.721422
35.609812	6.658174
35.657236	6.591399
35.705158	6.521616
35.753602	6.449320
35.802612	6.373950
35.852212	6.294263
35.902440	6.215806
35.953336	6.132569
36.004938	6.045012
36.057274	5.960824
36.110352	5.877849
36.164182	5.795013
36.218782	5.713857
36.274160	5.633325
36.330316	5.555818
36.387268	5.477739
36.445024	5.401081
36.503624	5.323290
36.563090	5.245079
36.623468	5.162678
36.684848	5.076911
36.747294	4.986813
36.810914	4.892684
36.875794	4.794422
36.942058	4.691325
37.009822	4.583991
37.079212	4.473929
37.150392	4.358601
37.223510	4.238293
37.298726	4.118285
37.376176	3.998260
37.456014	3.875734
37.538424	3.752858
37.623602	3.628292
37.711768	3.503114
37.803200	3.374501
37.898256	3.241763
37.997394	3.103543
38.101250	2.957238
38.210682	2.796106
38.327026	2.620440
38.451954	2.427702
38.588010	2.215353
38.739088	1.977636
38.912256	1.702668
39.123030	1.368349
39.437612	0.883472
39.985092	0.395188
40.533828	0.855195
40.859062	1.319964
41.077852	1.637235
41.258212	1.895014
41.416152	2.114839
41.558962	2.307450
41.690660	2.480061
41.813798	2.636051
41.930016	2.779875
42.040570	2.912766
42.146256	3.039114
42.247690	3.160620
42.345342	3.278777
42.439546	3.394922
42.530576	3.511650
42.618620	3.628459
42.703868	3.745610
42.786490	3.862772
42.866630	3.980529
42.944440	4.098407
43.020096	4.211702
43.093780	4.318934
43.165674	4.423657
43.235938	4.522750
43.304710	4.616323
43.372140	4.704955
43.438336	4.789159
43.503422	4.867668
43.567468	4.943342
43.630592	5.013713
43.692838	5.082003
43.754244	5.150152
43.814850	5.218072
43.874662	5.287274
43.933692	5.357605
43.991938	5.430208
44.049398	5.504999
44.106078	5.581085
44.161956	5.662568
44.217034	5.746886
44.271330	5.827909
44.324880	5.906137
44.377738	5.982619
44.429940	6.055499
44.481534	6.124440
44.532568	6.189111
44.583080	6.250682
44.633120	6.308419
44.682704	6.362848
44.731894	6.412722
44.780690	6.464182
44.829096	6.515394
44.877124	6.567423
44.924768	6.620011
44.972022	6.677136
45.018864	6.735544
45.065290	6.798513
45.111286	6.861770
45.156840	6.930188
45.201948	7.000296
45.246618	7.067700
45.290870	7.130908
45.334734	7.194267
45.378230	7.253735
45.421372	7.310109
45.464196	7.363913
45.506716	7.413613
45.548966	7.460443
45.590942	7.506075
45.632694	7.545738
45.674214	7.588021
45.715500	7.628928
45.756566	7.671777
45.797396	7.716247
45.837984	7.764304
45.878312	7.814907
45.918374	7.868933
45.958160	7.923710
45.997654	7.983311
46.036858	8.045052
46.075772	8.103572
46.114410	8.158286
46.152786	8.214173
46.190920	8.265609
46.228818	8.312851
46.266512	8.357967
46.304004	8.400879
46.341320	8.439243
46.378466	8.474758
46.415478	8.504582
46.452350	8.535081
46.489092	8.565800
46.525702	8.596270
46.562180	8.627431
46.598512	8.665984
46.634680	8.705366
46.670674	8.750954
46.706478	8.797022
46.742082	8.848061
46.777478	8.904741
46.812660	8.955509
46.847642	9.005311
46.882432	9.056191
46.917034	9.103427
46.951464	9.145830
46.985738	9.188093
47.019858	9.226410
47.053848	9.262317
47.087700	9.295753
47.121448	9.325554
47.155082	9.355547
47.188604	9.386294
47.222016	9.418938
47.255308	9.453517
47.288474	9.490643
47.321500	9.533267
47.354378	9.578026
47.387098	9.623209
47.419654	9.675370
47.452040	9.727498
47.484258	9.775321
47.516322	9.821160
47.548232	9.868671
47.579998	9.912889
47.611628	9.951827
47.643138	9.989801
47.674530	10.024866
47.705824	10.056315
47.737012	10.087313
47.768122	10.112640
47.799148	10.139403
47.830088	10.166309
47.860946	10.194680
47.891716	10.225207
47.922386	10.259937
47.952950	10.297603
47.983394	10.339628
48.013718	10.381312
48.043906	10.429562
48.073958	10.478961
48.103878	10.524599
48.133664	10.567790
48.163332	10.611338
48.192882	10.653078
48.222320	10.690780
48.251662	10.724355
48.280910	10.757405
48.310082	10.784733
48.339168	10.813688
48.368196	10.836067
48.397156	10.859290
48.426052	10.884121
48.454880	10.909823
48.483642	10.935647
48.512328	10.967716
48.540924	11.003056
48.569426	11.040953
48.597830	11.080674
48.626120	11.126196
48.654298	11.173683
48.682362	11.216769
48.710320	11.256154
48.738176	11.299880
48.765932	11.339034
48.793598	11.372693
48.821184	11.404896
48.848694	11.433952
48.876144	11.459811
48.903524	11.484108
48.930860	11.505137
48.958142	11.525397
48.985372	11.547426
49.012550	11.571244
49.039670	11.595160
49.066730	11.625195
49.093714	11.657981
49.120618	11.695304
49.147434	11.734621
49.174154	11.779500
49.200772	11.825614
49.227298	11.864917
49.253742	11.896367
49.280120	11.924363
49.306458	11.937957
49.332782	11.932515
49.359140	11.911703
49.385552	11.878375
49.412056	11.832741
49.438650	11.789225
49.465358	11.739883
49.492168	11.696175
49.519082	11.648471
49.546110	11.600298
49.573250	11.549973
49.600500	11.505980
49.627850	11.466504
49.655282	11.436449
49.682788	11.406552
49.710358	11.380933
49.737992	11.357891
49.765696	11.325136
49.793478	11.289322
49.821344	11.258575
49.849290	11.224784
49.877324	11.189602
49.905450	11.151472
49.933674	11.108885
49.962022	11.060388
49.990486	11.010769
50.019092	10.957006
50.047828	10.907550
50.076694	10.858540
50.105690	10.810711
50.134812	10.763302
50.164062	10.719232
50.193424	10.677699
50.222892	10.643694
50.252456	10.608471
50.282108	10.579890
50.311842	10.552881
50.341660	10.520369
50.371576	10.482458
50.401592	10.449683
50.431712	10.412278
50.461942	10.372400
50.492296	10.329429
50.522778	10.283446
50.553404	10.234534
50.584174	10.184105
50.615110	10.128289
50.646212	10.074374
50.677476	10.021669
50.708906	9.970145
50.740496	9.917896
50.772246	9.871772
50.804138	9.829764
50.836162	9.789333
50.868318	9.750443
50.900592	9.716066
50.932982	9.683124
50.965494	9.645071
50.998128	9.607317
51.030894	9.569274
51.063800	9.526329
51.096856	9.482050
51.130076	9.433079
51.163466	9.384051
51.197048	9.329431
51.230814	9.275991
51.264800	9.216125
51.298994	9.157560
51.333412	9.098681
51.368048	9.041595
51.402898	8.986763
51.437956	8.935641
51.473210	8.886102
51.508654	8.841089
51.544278	8.796037
51.580072	8.756320
51.616030	8.718412
51.652156	8.676036
51.688458	8.630749
