#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
59.757916	2.418172
59.887436	2.433419
60.016180	2.447219
60.144188	2.460829
60.271432	2.476737
60.397806	2.494793
60.523202	2.515286
60.647494	2.539317
60.770560	2.565613
60.892306	2.595071
61.012632	2.626706
61.131502	2.659617
61.248888	2.692855
61.364934	2.723106
61.479718	2.751680
61.593422	2.775504
61.706212	2.796355
61.818232	2.813333
61.929622	2.828123
62.040470	2.840602
62.150848	2.852104
62.260778	2.863647
62.370294	2.873864
62.479408	2.883994
62.588084	2.897079
62.696242	2.911902
62.803810	2.928787
62.910700	2.948634
63.016822	2.971279
63.122088	2.997360
63.226432	3.024310
63.329820	3.053113
63.432218	3.082773
63.533712	3.109133
63.634358	3.134634
63.734270	3.155287
63.833574	3.172877
63.932392	3.186329
64.030828	3.197485
64.128956	3.205903
64.226826	3.213906
64.324434	3.223336
64.421772	3.231759
64.518858	3.239824
64.615648	3.250955
64.712096	3.263518
64.808132	3.278366
64.903692	3.296115
64.998702	3.316225
65.093094	3.339846
65.186812	3.364670
65.279820	3.391037
65.372086	3.418118
65.463682	3.442841
65.554614	3.467542
65.644956	3.488101
65.734788	3.507103
65.824172	3.522992
65.913188	3.536237
66.001898	3.547257
66.090348	3.556493
66.178572	3.565778
66.266598	3.572671
66.354450	3.578694
66.442112	3.588177
66.529526	3.599689
66.616632	3.612604
66.703394	3.628795
66.789732	3.647586
66.875598	3.669570
66.960948	3.692429
67.045752	3.716805
67.129978	3.742219
67.213720	3.762837
67.297040	3.779769
67.380096	3.787516
67.463078	3.786785
67.546198	3.775045
67.629680	3.753755
67.713734	3.723590
67.798508	3.689047
67.884106	3.652335
67.970594	3.613103
68.058012	3.574297
68.146340	3.538786
68.235546	3.504755
68.325596	3.472447
68.416450	3.442917
68.508048	3.415740
68.600348	3.391477
68.693294	3.368422
68.786860	3.347034
68.880994	3.326901
68.975766	3.304157
69.071194	3.280763
69.167376	3.252907
69.264434	3.222146
69.362468	3.187816
69.461600	3.151488
69.561926	3.112337
69.663564	3.071021
69.766598	3.027749
69.871128	2.984092
69.977208	2.939419
70.084864	2.897026
70.194090	2.855786
70.304850	2.816865
70.417104	2.780269
70.530788	2.746243
70.645836	2.714916
70.762190	2.685260
70.879808	2.657008
70.998650	2.629740
71.118828	2.599752
71.240416	2.568801
71.363584	2.533910
71.488548	2.495625
71.615566	2.452875
71.744906	2.406797
71.876882	2.356147
72.011826	2.302241
72.150092	2.244283
72.291978	2.185517
72.437772	2.125915
72.587678	2.066919
72.741906	2.008640
72.900602	1.951663
73.063910	1.896845
73.231914	1.844004
73.404750	1.792553
73.582594	1.741846
73.765680	1.691538
73.954300	1.641084
74.149184	1.586455
74.351276	1.526497
74.562256	1.457450
74.784408	1.377976
75.020776	1.288446
75.275322	1.190123
75.553818	1.080097
75.866028	0.953066
76.230598	0.802750
76.693254	0.615422
77.920402	0.231566
78.715520	0.214152
80.023724	0.523981
80.566656	0.687893
80.992130	0.816741
81.356584	0.925152
81.682326	1.016322
81.981660	1.091824
82.262382	1.153149
82.529802	1.201374
82.787774	1.238242
83.039084	1.264548
83.285834	1.283981
83.529182	1.298361
83.769864	1.312256
84.007650	1.329223
84.241968	1.351234
84.471882	1.380168
84.696386	1.417315
84.914472	1.463139
85.125426	1.515803
85.328880	1.573534
85.524880	1.634203
85.713814	1.694111
85.896348	1.750815
86.073234	1.803958
86.245238	1.851852
86.413140	1.892868
86.577664	1.928233
86.739510	1.956233
86.899296	1.977909
87.057582	1.992992
87.214812	2.004462
87.371236	2.012216
87.527056	2.020135
87.682174	2.029872
87.836406	2.043073
87.989414	2.061845
88.140820	2.086688
88.290210	2.118147
88.437218	2.155200
88.581596	2.196641
88.723190	2.241305
88.862032	2.285393
88.998278	2.327519
89.132130	2.367797
89.263810	2.405434
89.393588	2.437762
89.521766	2.465735
89.648638	2.487996
89.774488	2.506057
89.899568	2.518311
90.024116	2.527916
90.148238	2.533788
90.272084	2.539810
90.395574	2.547554
90.518614	2.558384
90.641056	2.572546
90.762812	2.587547
90.883770	2.605963
91.003738	2.630180
91.122480	2.660112
91.239800	2.695165
91.355588	2.731867
91.469920	2.765194
91.583032	2.792130
91.695270	2.809157
91.807098	2.812779
91.919058	2.802791
92.031688	2.779187
92.145536	2.743366
92.261092	2.696553
92.378820	2.643682
92.498988	2.585843
92.621860	2.528933
92.747516	2.472644
92.876008	2.417912
93.007296	2.367511
93.141298	2.321225
93.277812	2.280549
93.416638	2.244925
93.557542	2.213636
93.700336	2.186216
93.844962	2.158992
93.991500	2.129547
94.140154	2.098312
94.291194	2.063579
94.445058	2.022398
94.602342	1.975223
94.763768	1.920477
94.930242	1.858051
95.102860	1.786600
95.282968	1.707889
95.472012	1.621333
95.671804	1.529962
95.884210	1.435055
96.111294	1.338545
96.355252	1.243407
96.618514	1.150151
96.904550	1.055494
97.217368	0.961049
97.561736	0.870846
97.942294	0.787438
98.367538	0.701922
98.857162	0.601798
99.471022	0.467303
