#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:14:45 2016
#Id	Edge	Time
#[]	[b]	[s]


682	0	365.567520
683	1	365.594608
684	0	366.602784
685	1	366.629948
686	0	367.701512
687	1	367.728712
688	0	368.736624
689	1	368.763900
690	0	369.835456
691	1	369.862764
692	0	370.870424
693	1	370.897808
694	0	371.969344
695	1	371.996764
696	0	373.004172
697	1	373.031664
698	0	374.103196
699	1	374.130728
700	0	375.137884
701	1	375.165484
702	0	376.237000
703	1	376.264636
704	0	377.271544
705	1	377.299256
706	0	378.370780
707	1	378.398528
708	0	379.405188
709	1	379.433012
710	0	380.504524
711	1	380.532380
712	0	381.538772
713	1	381.566708
714	0	382.638208
715	1	382.666176
716	0	383.672312
717	1	383.700356
718	0	384.771848
719	1	384.799932
720	0	385.805792
721	1	385.833948
722	0	386.905460
723	1	386.933644
724	0	387.939252
725	1	387.967516
726	0	389.039000
727	1	389.067304
728	0	390.072648
729	1	390.101028
730	0	391.172500
731	1	391.200920
732	0	392.205996
733	1	392.234496
734	0	393.305944
735	1	393.334472
736	0	394.339360
737	1	394.367960
738	0	395.439376
739	1	395.468016
740	0	396.472644
741	1	396.501372
742	0	397.572764
743	1	397.601520
744	0	398.605876
745	1	398.634720
746	0	399.706108
747	1	399.734972
748	0	400.739096
749	1	400.768040
750	0	401.839348
751	1	401.868336
752	0	402.872292
753	1	402.901352
754	0	403.972628
755	1	404.001728
756	0	405.005412
757	1	405.034588
758	0	406.105864
759	1	406.135076
760	0	407.138492
761	1	407.167784
762	0	408.239056
763	1	408.268388
764	0	409.271528
765	1	409.300932
766	0	410.372208
767	1	410.401656
768	0	411.404608
769	1	411.434128
770	0	412.505200
771	1	412.534776
772	0	413.537536
773	1	413.567180
774	0	414.638288
775	1	414.667972
776	0	415.670456
777	1	415.700216
778	0	416.771372
779	1	416.801168
780	0	417.803336
781	1	417.833208
782	0	418.904388
783	1	418.934300
784	0	419.936180
785	1	419.966172
786	0	421.037356
787	1	421.067388
788	0	422.068976
789	1	422.099084
790	0	423.170292
791	1	423.200440
792	0	424.201760
793	1	424.231984
794	0	425.303188
795	1	425.333456
796	0	426.334504
797	1	426.364852
798	0	427.436044
799	1	427.466432
800	0	428.467212
801	1	428.497676
802	0	429.568856
803	1	429.599368
804	0	430.599912
805	1	430.630500
806	0	431.701652
807	1	431.732276
808	0	432.732552
809	1	432.763260
810	0	433.834408
811	1	433.865148
812	0	434.865164
813	1	434.895988
814	0	435.967132
815	1	435.997992
816	0	436.997728
817	1	437.028672
818	0	438.099820
819	1	438.130808
820	0	439.130256
821	1	439.161324
822	0	440.232448
823	1	440.263552
824	0	441.262752
825	1	441.293940
826	0	442.365100
827	1	442.396320
828	0	443.395232
829	1	443.426536
830	0	444.497672
831	1	444.529020
832	0	445.527656
833	1	445.559084
834	0	446.630224
835	1	446.661688
836	0	447.660052
837	1	447.691600
838	0	448.762744
839	1	448.794332
840	0	449.792408
841	1	449.824076
842	0	450.895232
843	1	450.926940
844	0	451.924740
845	1	451.956536
846	0	453.027668
847	1	453.059500
848	0	454.057028
849	1	454.088944
850	0	455.160080
851	1	455.192036
852	0	456.189260
853	1	456.221304
854	0	457.292452
855	1	457.324532
856	0	458.321464
857	1	458.353632
858	0	459.424784
859	1	459.456992
860	0	460.453648
861	1	460.485940
862	0	461.557100
863	1	461.589432
864	0	462.585808
865	1	462.618220
866	0	463.689388
867	1	463.721844
868	0	464.717956
869	1	464.750500
870	0	465.821680
871	1	465.854256
872	0	466.850076
873	1	466.882744
874	0	467.953912
875	1	467.986616
876	0	468.982152
877	1	469.014940
878	0	470.086120
