#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 17:47:41 2016
#Time A	Pos A		Pos B
#[s]	[au]	u]
32.468	383		444
32.518	361		457
32.569	342		477
32.619	325		503
32.670	313		531
32.720	309		561
32.772	309		592
32.822	314		625
32.873	326		650
32.923	342		670
32.974	362		689
33.025	387		700
33.076	412		705
33.126	437		702
33.177	464		694
33.227	489		678
33.279	506		658
33.329	523		633
33.380	532		607
33.430	537		578
33.481	536		546
33.531	528		519
33.583	516		496
33.633	498		474
33.684	474		460
33.734	448		450
33.785	424		447
33.836	394		451
33.887	367		461
33.937	345		477
33.988	325		498
34.038	309		522
34.090	300		549
34.140	297		575
34.191	300		603
34.241	309		633
34.292	324		653
34.342	345		670
34.394	369		683
34.444	398		689
34.495	424		691
34.545	452		686
34.596	481		676
34.647	503		660
34.698	525		638
34.748	538		617
34.799	546		589
34.849	547		566
34.901	543		540
34.951	532		515
35.002	514		495
35.052	493		479
35.103	467		468
35.153	436		462
35.205	404		461
35.255	379		468
35.306	347		481
35.356	327		496
35.407	307		517
35.458	294		538
35.509	287		563
35.559	287		587
35.610	294		612
35.660	307		633
35.712	328		651
35.762	349		665
35.813	379		674
35.863	410		677
35.914	440		677
35.965	471		669
36.016	497		657
36.066	521		642
36.117	541		623
36.167	552		600
36.218	558		575
36.269	556		554
36.320	547		536
36.370	530		513
36.421	509		497
36.471	484		486
36.523	453		478
36.573	423		475
36.624	387		480
36.674	359		486
36.725	334		499
36.776	309		514
36.827	293		533
36.877	282		555
36.928	278		577
36.978	282		601
37.029	292		615
37.080	311		632
37.131	334		648
37.182	364		657
37.232	394		662
37.283	422		664
37.334	459		658
37.385	486		652
37.435	515		639
37.486	537		624
37.536	554		607
37.588	563		585
37.638	565		567
37.689	559		550
37.739	547		532
37.790	528		515
37.840	500		503
37.892	472		495
37.942	440		490
37.993	406		492
38.043	374		497
38.094	342		506
38.145	316		517
38.196	295		534
38.246	279		550
38.297	273		564
38.347	272		586
38.399	281		603
38.449	294		617
38.500	318		630
38.550	344		639
38.601	376		646
38.651	409		648
38.703	445		647
38.753	475		641
38.804	509		634
38.854	532		621
38.905	552		608
38.956	566		595
39.007	571		577
39.057	570		559
39.108	558		546
39.158	541		532
39.210	519		522
39.260	495		513
39.311	459		508
39.361	430		507
39.412	386		508
39.462	352		514
39.514	325		522
39.564	300		534
39.615	281		544
39.665	271		562
39.716	267		583
39.767	269		587
39.818	282		602
39.868	301		614
39.919	331		622
39.969	354		629
40.021	383		633
40.071	427		632
40.122	459		630
40.172	495		624
40.223	522		616
40.273	547		614
40.325	564		592
40.375	573		594
40.426	575		572
40.476	569		562
40.527	556		548
40.578	537		536
40.629	507		530
40.679	478		525
40.730	438		523
40.780	401		525
40.832	370		527
40.882	338		530
40.933	309		544
40.983	287		546
41.034	271		554
41.085	264		565
41.136	264		583
41.186	272		588
41.237	285		598
41.287	312		607
41.338	341		612
41.389	369		616
41.440	403		617
41.490	446		618
41.541	477		613
41.591	510		604
41.643	538		601
41.693	559		602
41.744	572		589
41.794	579		571
41.845	576		571
41.896	566		561
41.947	547		552
41.997	525		546
42.048	492		542
42.098	464		540
42.149	422		538
42.200	388		540
42.251	351		539
42.301	321		546
42.352	296		546
42.402	276		555
42.454	265		561
42.504	261		570
42.555	264		580
42.605	278		586
42.656	298		593
42.707	325		597
42.758	357		599
42.808	390		601
42.859	424		602
42.909	461		598
42.960	496		599
43.011	526		602
43.062	551		590
43.112	569		578
43.163	577		583
43.213	579		573
43.265	575		569
43.315	558		565
43.366	537		561
43.416	510		558
43.467	479		555
43.518	440		554
43.569	401		556
43.619	368		556
43.670	336		563
43.720	307		558
43.771	283		556
43.822	269		571
43.873	261		566
43.924	261		574
43.974	271		577
44.025	285		580
44.076	306		582
44.127	338		583
44.177	374		585
44.228	406		588
44.278	446		587
44.330	480		584
44.380	511		582
44.431	539		578
44.481	560		582
44.532	574		575
44.582	580		577
44.634	577		575
44.684	566		574
44.735	550		572
44.785	521		571
44.836	499		571
44.887	459		570
44.938	425		570
44.988	385		569
45.039	350		572
45.089	320		569
45.141	294		572
45.191	276		576
45.242	263		571
45.292	260		571
45.343	266		571
45.393	279		570
45.445	297		571
45.495	320		571
45.546	358		571
45.596	387		572
45.647	427		569
45.698	461		573
45.749	496		575
45.799	526		574
45.850	550		572
45.900	567		576
45.952	577		575
46.002	578		578
46.053	572		580
46.103	555		581
46.154	531		582
46.205	506		583
46.256	471		584
46.306	440		582
46.357	404		583
46.407	369		583
46.458	337		580
46.509	308		574
46.560	286		575
46.610	272		573
46.661	264		570
46.711	266		567
46.763	272		564
46.813	287		562
46.864	311		559
46.914	340		559
46.965	375		555
47.016	410		557
47.067	444		554
47.117	479		559
47.168	510		560
47.218	536		566
47.269	557		568
47.320	569		575
47.371	576		581
47.421	571		584
47.472	558		587
47.522	545		592
47.574	518		595
47.624	489		598
47.675	459		598
47.725	421		598
47.776	387		593
47.827	353		595
47.878	324		587
47.928	298		584
47.979	280		579
48.029	269		572
48.080	268		567
48.131	275		560
48.182	284		555
48.232	302		551
48.283	328		547
48.333	358		546
48.385	391		542
48.435	427		547
48.486	461		547
48.536	493		549
48.587	522		563
48.638	544		563
48.689	559		569
48.739	569		577
48.790	569		585
48.840	564		592
48.891	552		597
48.942	530		603
48.993	504		607
49.043	471		607
49.094	437		609
49.144	404		611
49.196	370		606
49.246	340		597
49.297	314		593
49.347	292		585
49.398	279		578
49.449	276		569
49.500	273		560
49.550	279		551
49.601	297		544
49.651	319		539
49.702	345		537
49.753	377		534
49.804	411		534
49.854	444		533
49.905	476		536
49.955	505		545
50.007	530		554
50.057	548		559
50.108	563		573
50.158	564		583
50.209	566		592
50.260	552		601
50.311	536		608
50.361	511		616
50.412	482		620
50.462	454		623
50.513	420		624
50.564	389		623
50.615	358		613
50.665	331		608
50.716	307		596
50.766	288		585
50.818	283		574
50.868	277		561
50.919	283		551
50.969	293		540
51.020	311		532
51.071	338		526
51.122	364		523
51.172	395		518
51.223	427		519
51.273	458		525
51.325	488		537
51.375	514		540
51.426	533		554
51.476	548		566
51.527	559		578
51.577	559		590
51.629	554		601
51.679	538		613
51.730	517		623
51.780	494		631
51.831	467		632
51.882	436		639
51.933	405		632
51.983	374		621
52.034	345		619
52.084	323		606
52.136	304		595
52.186	290		580
52.237	287		568
52.287	290		551
52.338	293		539
52.388	307		528
52.440	329		520
52.490	352		512
52.541	382		509
52.591	412		512
52.642	442		517
52.693	470		519
52.744	497		531
52.794	519		542
52.845	538		556
52.895	545		571
52.947	554		586
52.997	548		601
53.048	539		615
53.098	523		628
53.149	503		634
53.199	476		646
53.251	450		643
53.301	420		648
53.352	391		638
53.402	363		632
53.453	339		621
53.504	319		605
53.555	305		590
53.605	300		574
53.656	293		556
53.706	299		542
53.758	308		528
53.808	327		517
53.859	345		502
53.909	371		503
53.960	398		493
