#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 16:26:48 2016
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
17.361	523	17.387	481
17.412	526	17.438	481
17.464	523	17.488	479
17.514	515	17.539	480
17.565	502	17.590	480
17.615	487	17.641	483
17.666	468	17.691	473
17.717	447	17.742	481
17.768	426	17.792	477
17.818	407	17.844	478
17.869	384	17.894	479
17.919	371	17.945	479
17.971	360	17.995	478
18.021	349	18.046	479
18.072	341	18.096	479
18.122	339	18.148	477
18.173	344	18.198	481
18.223	352	18.249	477
18.275	364	18.299	476
18.325	379	18.350	485
18.376	397	18.401	481
18.426	417	18.452	478
18.477	437	18.502	480
18.528	461	18.553	479
18.579	479	18.603	479
18.629	500	18.655	481
18.680	506	18.705	480
18.730	523	18.756	480
18.782	524	18.806	478
18.832	524	18.857	481
18.883	520	18.907	483
18.933	511	18.959	478
18.984	500	19.009	484
19.034	483	19.060	479
19.086	466	19.110	480
19.136	446	19.161	477
19.187	427	19.212	478
19.237	405	19.263	478
19.288	384	19.313	478
19.339	372	19.364	479
19.390	362	19.414	479
19.440	348	19.466	479
19.491	346	19.516	478
19.541	344	19.567	481
19.593	347	19.617	479
19.643	355	19.668	484
19.694	368	19.718	478
19.744	383	19.770	473
19.795	400	19.820	481
19.845	418	19.871	481
19.897	440	19.921	479
19.947	456	19.972	479
19.998	476	20.023	479
20.048	496	20.074	479
20.099	507	20.124	479
20.150	513	20.175	479
20.201	520	20.225	483
20.251	520	20.277	480
20.302	516	20.327	483
20.352	508	20.378	482
20.404	497	20.428	481
20.454	481	20.479	482
20.505	464	20.529	478
20.555	444	20.581	478
20.606	426	20.632	480
20.656	408	20.682	479
20.708	391	20.733	480
20.758	371	20.783	479
20.809	359	20.835	480
20.859	353	20.885	481
20.910	347	20.936	478
20.961	346	20.986	476
21.012	351	21.037	480
21.062	358	21.088	475
21.113	369	21.139	479
21.163	384	21.189	475
21.215	400	21.240	478
21.265	420	21.290	479
21.316	441	21.342	478
21.366	462	21.392	480
21.417	475	21.443	481
21.467	490	21.493	480
21.519	504	21.544	479
21.569	516	21.594	479
21.620	518	21.646	476
21.670	518	21.696	481
21.721	514	21.747	484
21.772	506	21.797	480
21.823	495	21.848	485
21.873	480	21.899	481
21.924	465	21.950	478
21.974	443	22.000	478
22.026	428	22.051	479
22.076	407	22.101	480
22.127	393	22.153	480
22.177	376	22.203	479
22.228	364	22.254	479
22.278	356	22.304	483
22.330	350	22.355	480
22.380	349	22.405	475
22.431	354	22.457	478
22.481	361	22.507	474
22.532	372	22.558	478
22.583	389	22.608	479
22.634	404	22.659	480
22.684	422	22.710	479
22.735	440	22.761	479
22.785	461	22.811	480
22.837	474	22.862	478
22.887	487	22.912	479
22.938	501	22.964	482
22.988	509	23.014	478
23.039	515	23.065	481
23.089	515	23.115	480
23.141	510	23.166	475
23.191	502	23.216	481
23.242	491	23.268	479
23.292	476	23.318	479
23.343	458	23.369	479
23.394	441	23.419	480
23.445	427	23.470	480
23.495	407	23.521	480
23.546	386	23.572	479
23.596	377	23.622	478
23.648	364	23.673	478
23.698	356	23.723	479
23.749	353	23.775	477
23.799	352	23.825	484
23.850	357	23.876	481
23.900	364	23.926	477
23.952	375	23.977	478
24.002	387	24.027	479
24.053	405	24.079	479
24.103	418	24.129	478
24.154	441	24.180	478
24.205	455	24.230	479
24.256	471	24.281	480
24.307	488	24.332	478
24.357	500	24.383	476
24.408	508	24.433	481
24.459	512	24.484	475
24.510	511	24.534	478
24.560	507	24.586	483
24.611	500	24.636	480
24.661	491	24.687	481
24.713	475	24.737	479
24.763	462	24.788	480
24.814	441	24.838	479
24.864	424	24.890	480
24.915	405	24.940	479
24.965	391	24.991	480
25.017	376	25.041	479
25.067	367	25.092	479
25.118	360	25.143	479
25.168	354	25.194	481
25.219	355	25.244	474
25.270	359	25.295	479
25.321	366	25.345	481
25.371	377	25.397	479
25.422	389	25.447	479
25.472	405	25.498	480
25.524	419	25.548	479
25.574	440	25.599	480
25.625	456	25.649	480
25.675	474	25.701	477
25.726	487	25.751	477
25.776	498	25.802	482
25.828	506	25.852	478
25.878	509	25.903	479
25.929	509	25.954	480
25.979	504	26.005	477
26.030	497	26.055	481
26.081	488	26.106	479
26.132	474	26.156	479
26.182	461	26.208	479
26.233	441	26.258	479
26.283	426	26.309	479
26.335	408	26.359	478
26.385	394	26.410	481
26.436	378	26.460	478
26.486	368	26.512	479
26.537	361	26.562	483
26.587	357	26.613	479
26.639	357	26.663	479
26.689	362	26.714	479
26.740	367	26.765	478
26.790	382	26.816	479
26.841	393	26.866	480
26.892	407	26.917	479
26.943	426	26.967	479
26.993	441	27.019	478
27.044	457	27.069	478
27.094	473	27.120	479
27.146	486	27.170	478
27.196	497	27.221	483
27.247	503	27.271	480
27.297	507	27.323	477
27.348	506	27.374	480
27.398	504	27.424	479
27.450	493	27.475	479
27.500	483	27.525	479
27.551	473	27.577	479
27.601	459	27.627	479
27.652	442	27.678	480
27.703	424	27.728	479
27.754	407	27.779	476
27.804	391	27.830	478
27.855	380	27.881	477
27.905	369	27.931	478
27.957	362	27.982	475
28.007	360	28.032	479
28.058	361	28.084	480
28.108	363	28.134	479
28.159	372	28.185	480
28.209	383	28.235	479
28.261	395	28.286	480
28.311	412	28.336	479
28.362	429	28.388	479
28.412	442	28.438	480
28.463	458	28.489	480
28.514	474	28.539	484
28.565	485	28.590	478
28.615	494	28.641	485
28.666	502	28.692	479
