#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 17:34:53 2016
#Time A	Pos A		Pos B
#[s]	[au]		[au]
20.300	558	20.326	772
20.352	567	20.377	781
20.402	566	20.427	781
20.453	557	20.479	776
20.503	541	20.529	758
20.554	517	20.580	736
20.604	489	20.630	705
20.656	458	20.681	668
20.706	425	20.731	628
20.757	391	20.783	587
20.807	360	20.833	547
20.858	329	20.884	509
20.909	301	20.934	476
20.960	282	20.985	447
21.010	269	21.036	430
21.061	262	21.087	420
21.111	263	21.137	419
21.163	272	21.188	428
21.213	287	21.238	446
21.264	306	21.290	472
21.314	335	21.340	504
21.365	364	21.391	540
21.415	397	21.441	580
21.467	429	21.492	622
21.517	464	21.542	662
21.568	493	21.594	697
21.618	520	21.644	729
21.669	541	21.695	757
21.720	554	21.745	775
21.771	561	21.796	781
21.821	560	21.847	779
21.872	553	21.898	771
21.922	537	21.948	755
21.974	516	21.999	729
22.024	488	22.049	697
22.075	457	22.101	659
22.125	427	22.151	621
22.176	391	22.202	580
22.226	360	22.252	539
22.278	329	22.303	502
22.328	305	22.353	470
22.379	285	22.405	446
22.429	273	22.455	427
22.480	267	22.506	420
22.531	267	22.556	421
22.582	275	22.607	431
22.632	290	22.658	450
22.683	311	22.709	478
22.733	335	22.759	512
22.785	364	22.810	549
22.835	397	22.860	588
22.886	430	22.912	630
22.936	462	22.962	668
22.987	490	23.013	704
23.037	516	23.063	734
23.089	538	23.114	759
23.139	551	23.164	774
23.190	557	23.216	781
23.240	557	23.266	776
23.291	549	23.317	768
23.342	534	23.367	749
23.393	513	23.418	721
23.444	487	23.469	689
23.494	457	23.520	652
23.545	424	23.570	612
23.596	393	23.621	572
23.647	358	23.671	532
23.697	332	23.723	497
23.748	308	23.773	467
23.798	289	23.824	442
23.850	277	23.874	427
23.900	270	23.925	421
23.951	270	23.975	423
24.001	278	24.027	438
24.052	293	24.077	458
24.102	311	24.128	486
24.154	336	24.178	519
24.204	363	24.229	557
24.255	397	24.280	597
24.305	428	24.331	636
24.356	459	24.381	674
24.407	490	24.432	709
24.458	514	24.482	738
24.508	535	24.534	762
24.559	548	24.584	774
24.609	554	24.635	777
24.661	554	24.685	773
24.711	547	24.736	761
24.762	533	24.786	743
24.812	512	24.838	714
24.863	486	24.888	680
24.913	458	24.939	643
24.965	425	24.989	604
25.015	393	25.040	564
25.066	361	25.091	525
25.116	334	25.142	491
25.167	312	25.192	464
25.218	292	25.243	442
25.269	280	25.293	427
