000000.#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 16:26:48 2016
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
18.173	432	18.199	438
18.223	446	18.249	472
18.275	426	18.300	510
18.325	452	18.350	548
18.376	422	18.402	579
18.426	454	18.452	605
18.477	421	18.503	625
18.528	450	18.553	638
18.579	422	18.604	642
18.629	448	18.655	639
18.680	426	18.706	628
18.730	442	18.756	608
18.782	436	18.807	584
18.832	435	18.857	554
18.883	442	18.909	516
18.933	429	18.959	483
18.984	448	19.010	445
19.035	420	19.060	410
19.086	451	19.111	380
19.136	413	19.161	352
19.187	448	19.213	333
19.237	411	19.263	321
19.288	445	19.314	316
19.339	414	19.364	319
19.390	447	19.415	331
19.440	424	19.466	352
19.491	438	19.517	377
19.541	437	19.567	409
19.593	434	19.618	440
19.643	446	19.668	476
19.694	428	19.720	513
19.744	452	19.770	550
